,Hoodie,Tshirt,Total_Profit
Baseline,5.0,150.0,7900000.0
Tenaga Kerja +5,16.666667,150.0,8833333.36
Jam Mesin 12 jam,5.0,150.0,7900000.0
Demand Hoodie 100,5.0,150.0,7900000.0
Profit Tshirt turun,40.0,80.0,5840000.0
